Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
301 Brisbane - East,2005-08-01,7.58,301
302 Brisbane - North,2005-08-01,8.33,302
303 Brisbane - South,2005-08-01,7.90,303
304 Brisbane - West,2005-08-01,6.74,304
305 Brisbane Inner City,2005-08-01,8.29,305
310 Ipswich,2005-08-01,8.25,310
311 Logan - Beaudesert,2005-08-01,11.13,311
313 Moreton Bay - North,2005-08-01,7.66,313
314 Moreton Bay - South,2005-08-01,9.34,314
306 Cairns,2005-08-01,8.10,306
307 Darling Downs - Maranoa,2005-08-01,11.49,307
308 Fitzroy,2005-08-01,6.09,308
309 Gold Coast,2005-08-01,8.08,309
312 Mackay,2005-08-01,8.56,312
315 Queensland - Outback,2005-08-01,6.46,315
316 Sunshine Coast,2005-08-01,9.04,316
317 Toowoomba,2005-08-01,10.36,317
318 Townsville,2005-08-01,8.02,318
319 Wide Bay,2005-08-01,7.96,319
401 Adelaide - Central and Hills,2005-08-01,7.85,401
402 Adelaide - North,2005-08-01,8.43,402
403 Adelaide - South,2005-08-01,9.82,403
404 Adelaide - West,2005-08-01,9.90,404
405 Barossa - Yorke - Mid North,2005-08-01,7.95,405
406 South Australia - Outback,2005-08-01,7.37,406
407 South Australia - South East,2005-08-01,8.86,407
502 Mandurah,2005-08-01,7.59,502
503 Perth - Inner,2005-08-01,6.87,503
504 Perth - North East,2005-08-01,8.98,504
505 Perth - North West,2005-08-01,8.94,505
506 Perth - South East,2005-08-01,9.46,506
507 Perth - South West,2005-08-01,9.04,507
501 Bunbury,2005-08-01,9.68,501
508 Western Australia - Outback,2005-08-01,7.14,508
509 Western Australia - Wheat Belt,2005-08-01,9.35,509
601 Hobart,2005-08-01,6.42,601
602 Launceston and North East,2005-08-01,9.40,602
603 Tasmania - South East,2005-08-01,8.98,603
604 Tasmania - West and North West,2005-08-01,9.38,604
701 Darwin,2005-08-01,8.44,701
702 Northern Territory - Outback,2005-08-01,8.86,702
801 Australian Capital Territory,2005-08-01,14.26,801
102 Central Coast,2006-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2006-08-01,10.72,115
116 Sydney - Blacktown,2006-08-01,5.80,116
117 Sydney - City and Inner South,2006-08-01,7.14,117
118 Sydney - Eastern Suburbs,2006-08-01,9.40,118
119 Sydney - Inner South West,2006-08-01,8.05,119
120 Sydney - Inner West,2006-08-01,7.49,120
121 Sydney - North Sydney and Hornsby,2006-08-01,7.84,121
122 Sydney - Northern Beaches,2006-08-01,6.61,122
123 Sydney - Outer South West,2006-08-01,9.50,123
124 Sydney - Outer West and Blue Mountains,2006-08-01,8.76,124
125 Sydney - Parramatta,2006-08-01,11.21,125
126 Sydney - Ryde,2006-08-01,6.31,126
127 Sydney - South West,2006-08-01,9.37,127
128 Sydney - Sutherland,2006-08-01,7.08,128
101 Capital Region,2006-08-01,7.71,101
103 New South Wales - Central West,2006-08-01,8.07,103
104 Coffs Harbour - Grafton,2006-08-01,7.93,104
105 Far West and Orana,2006-08-01,8.03,105
106 Hunter Valley exc Newcastle,2006-08-01,9.50,106
107 Illawarra,2006-08-01,10.54,107
108 Mid North Coast,2006-08-01,9.34,108
109 Murray,2006-08-01,7.82,109
110 New England and North West,2006-08-01,7.34,110
111 Newcastle and Lake Macquarie,2006-08-01,8.31,111
112 Richmond - Tweed,2006-08-01,9.07,112
113 Riverina,2006-08-01,10.82,113
114 Southern Highlands and Shoalhaven,2006-08-01,11.01,114
206 Melbourne - Inner,2006-08-01,11.43,206
207 Melbourne - Inner East,2006-08-01,7.85,207
208 Melbourne - Inner South,2006-08-01,8.20,208
209 Melbourne - North East,2006-08-01,5.99,209
210 Melbourne - North West,2006-08-01,8.45,210
211 Melbourne - Outer East,2006-08-01,10.30,211
212 Melbourne - South East,2006-08-01,8.43,212
213 Melbourne - West,2006-08-01,7.36,213
214 Mornington Peninsula,2006-08-01,8.65,214
201 Ballarat,2006-08-01,9.16,201
202 Bendigo,2006-08-01,8.38,202
203 Geelong,2006-08-01,7.71,203
204 Hume,2006-08-01,8.77,204
205 Latrobe - Gippsland,2006-08-01,8.90,205
215 Victoria - North West,2006-08-01,7.70,215
216 Shepparton,2006-08-01,8.84,216
217 Warrnambool and South West,2006-08-01,7.03,217
301 Brisbane - East,2006-08-01,6.99,301
302 Brisbane - North,2006-08-01,7.57,302
303 Brisbane - South,2006-08-01,9.98,303
304 Brisbane - West,2006-08-01,7.07,304
305 Brisbane Inner City,2006-08-01,8.19,305
310 Ipswich,2006-08-01,8.66,310
311 Logan - Beaudesert,2006-08-01,11.57,311
313 Moreton Bay - North,2006-08-01,8.14,313
314 Moreton Bay - South,2006-08-01,9.60,314
306 Cairns,2006-08-01,7.58,306
307 Darling Downs - Maranoa,2006-08-01,11.33,307
308 Fitzroy,2006-08-01,5.65,308
309 Gold Coast,2006-08-01,8.46,309
312 Mackay,2006-08-01,9.52,312
315 Queensland - Outback,2006-08-01,7.65,315
316 Sunshine Coast,2006-08-01,8.64,316
317 Toowoomba,2006-08-01,8.61,317
318 Townsville,2006-08-01,6.08,318
319 Wide Bay,2006-08-01,10.35,319
401 Adelaide - Central and Hills,2006-08-01,7.40,401
402 Adelaide - North,2006-08-01,8.25,402
403 Adelaide - South,2006-08-01,8.76,403
404 Adelaide - West,2006-08-01,10.13,404
405 Barossa - Yorke - Mid North,2006-08-01,9.02,405
406 South Australia - Outback,2006-08-01,6.89,406
407 South Australia - South East,2006-08-01,10.79,407
502 Mandurah,2006-08-01,7.41,502
503 Perth - Inner,2006-08-01,7.30,503
504 Perth - North East,2006-08-01,6.57,504
505 Perth - North West,2006-08-01,10.49,505
506 Perth - South East,2006-08-01,8.80,506
507 Perth - South West,2006-08-01,8.87,507
501 Bunbury,2006-08-01,9.02,501
508 Western Australia - Outback,2006-08-01,7.83,508
509 Western Australia - Wheat Belt,2006-08-01,7.36,509
601 Hobart,2006-08-01,6.86,601
602 Launceston and North East,2006-08-01,10.79,602
603 Tasmania - South East,2006-08-01,9.02,603
604 Tasmania - West and North West,2006-08-01,10.15,604
701 Darwin,2006-08-01,8.20,701
702 Northern Territory - Outback,2006-08-01,10.60,702
801 Australian Capital Territory,2006-08-01,14.06,801
102 Central Coast,2007-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2007-08-01,9.44,115
116 Sydney - Blacktown,2007-08-01,8.81,116
117 Sydney - City and Inner South,2007-08-01,9.42,117
118 Sydney - Eastern Suburbs,2007-08-01,9.87,118
119 Sydney - Inner South West,2007-08-01,8.04,119
120 Sydney - Inner West,2007-08-01,8.24,120
121 Sydney - North Sydney and Hornsby,2007-08-01,8.11,121
122 Sydney - Northern Beaches,2007-08-01,6.60,122
123 Sydney - Outer South West,2007-08-01,7.55,123
124 Sydney - Outer West and Blue Mountains,2007-08-01,7.73,124
125 Sydney - Parramatta,2007-08-01,10.09,125
126 Sydney - Ryde,2007-08-01,7.61,126
127 Sydney - South West,2007-08-01,6.57,127
128 Sydney - Sutherland,2007-08-01,5.94,128
101 Capital Region,2007-08-01,9.67,101
103 New South Wales - Central West,2007-08-01,8.03,103
104 Coffs Harbour - Grafton,2007-08-01,6.24,104
105 Far West and Orana,2007-08-01,8.49,105
106 Hunter Valley exc Newcastle,2007-08-01,12.02,106
107 Illawarra,2007-08-01,9.80,107
108 Mid North Coast,2007-08-01,11.61,108
109 Murray,2007-08-01,11.87,109
110 New England and North West,2007-08-01,9.44,110
111 Newcastle and Lake Macquarie,2007-08-01,8.69,111
112 Richmond - Tweed,2007-08-01,10.23,112
113 Riverina,2007-08-01,10.46,113
114 Southern Highlands and Shoalhaven,2007-08-01,9.37,114
206 Melbourne - Inner,2007-08-01,10.75,206
207 Melbourne - Inner East,2007-08-01,8.46,207
208 Melbourne - Inner South,2007-08-01,6.38,208
209 Melbourne - North East,2007-08-01,7.97,209
210 Melbourne - North West,2007-08-01,7.49,210
211 Melbourne - Outer East,2007-08-01,7.78,211
212 Melbourne - South East,2007-08-01,8.39,212
213 Melbourne - West,2007-08-01,6.90,213
214 Mornington Peninsula,2007-08-01,8.60,214
201 Ballarat,2007-08-01,9.28,201
202 Bendigo,2007-08-01,8.62,202
203 Geelong,2007-08-01,9.51,203
204 Hume,2007-08-01,9.21,204
205 Latrobe - Gippsland,2007-08-01,10.49,205
215 Victoria - North West,2007-08-01,8.88,215
216 Shepparton,2007-08-01,7.37,216
217 Warrnambool and South West,2007-08-01,9.34,217
301 Brisbane - East,2007-08-01,6.99,301
302 Brisbane - North,2007-08-01,9.18,302
303 Brisbane - South,2007-08-01,8.98,303
304 Brisbane - West,2007-08-01,7.55,304
305 Brisbane Inner City,2007-08-01,7.99,305
310 Ipswich,2007-08-01,6.78,310
311 Logan - Beaudesert,2007-08-01,10.58,311
313 Moreton Bay - North,2007-08-01,8.26,313
314 Moreton Bay - South,2007-08-01,10.99,314
306 Cairns,2007-08-01,9.40,306
307 Darling Downs - Maranoa,2007-08-01,9.55,307
308 Fitzroy,2007-08-01,6.79,308
309 Gold Coast,2007-08-01,7.49,309
312 Mackay,2007-08-01,9.93,312
315 Queensland - Outback,2007-08-01,7.49,315
316 Sunshine Coast,2007-08-01,7.66,316
317 Toowoomba,2007-08-01,9.68,317
318 Townsville,2007-08-01,8.14,318
319 Wide Bay,2007-08-01,9.38,319
401 Adelaide - Central and Hills,2007-08-01,7.32,401
402 Adelaide - North,2007-08-01,7.19,402
403 Adelaide - South,2007-08-01,9.99,403
404 Adelaide - West,2007-08-01,10.96,404
405 Barossa - Yorke - Mid North,2007-08-01,9.77,405
406 South Australia - Outback,2007-08-01,8.33,406
407 South Australia - South East,2007-08-01,10.36,407
502 Mandurah,2007-08-01,9.23,502
503 Perth - Inner,2007-08-01,10.79,503
504 Perth - North East,2007-08-01,6.92,504
505 Perth - North West,2007-08-01,10.95,505
506 Perth - South East,2007-08-01,9.55,506
507 Perth - South West,2007-08-01,8.38,507
501 Bunbury,2007-08-01,9.01,501
508 Western Australia - Outback,2007-08-01,6.77,508
509 Western Australia - Wheat Belt,2007-08-01,8.12,509
601 Hobart,2007-08-01,8.29,601
602 Launceston and North East,2007-08-01,10.88,602
603 Tasmania - South East,2007-08-01,10.80,603
604 Tasmania - West and North West,2007-08-01,7.40,604
701 Darwin,2007-08-01,8.53,701
702 Northern Territory - Outback,2007-08-01,9.73,702
801 Australian Capital Territory,2007-08-01,15.22,801
102 Central Coast,2008-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2008-08-01,12.78,115
116 Sydney - Blacktown,2008-08-01,5.49,116
117 Sydney - City and Inner South,2008-08-01,8.49,117
118 Sydney - Eastern Suburbs,2008-08-01,8.33,118
119 Sydney - Inner South West,2008-08-01,8.77,119
120 Sydney - Inner West,2008-08-01,9.02,120
121 Sydney - North Sydney and Hornsby,2008-08-01,9.46,121
122 Sydney - Northern Beaches,2008-08-01,6.01,122
123 Sydney - Outer South West,2008-08-01,9.26,123
124 Sydney - Outer West and Blue Mountains,2008-08-01,8.21,124
125 Sydney - Parramatta,2008-08-01,10.21,125
126 Sydney - Ryde,2008-08-01,6.34,126
127 Sydney - South West,2008-08-01,4.91,127
128 Sydney - Sutherland,2008-08-01,6.58,128
101 Capital Region,2008-08-01,9.38,101
103 New South Wales - Central West,2008-08-01,8.40,103
104 Coffs Harbour - Grafton,2008-08-01,7.63,104
105 Far West and Orana,2008-08-01,10.28,105
106 Hunter Valley exc Newcastle,2008-08-01,8.36,106
107 Illawarra,2008-08-01,13.34,107
108 Mid North Coast,2008-08-01,7.63,108
109 Murray,2008-08-01,9.63,109
110 New England and North West,2008-08-01,9.93,110
111 Newcastle and Lake Macquarie,2008-08-01,8.08,111
112 Richmond - Tweed,2008-08-01,8.22,112
113 Riverina,2008-08-01,6.97,113
114 Southern Highlands and Shoalhaven,2008-08-01,9.88,114
206 Melbourne - Inner,2008-08-01,13.75,206
207 Melbourne - Inner East,2008-08-01,8.02,207
208 Melbourne - Inner South,2008-08-01,7.15,208
209 Melbourne - North East,2008-08-01,6.50,209
210 Melbourne - North West,2008-08-01,9.11,210
211 Melbourne - Outer East,2008-08-01,7.68,211
212 Melbourne - South East,2008-08-01,7.61,212
213 Melbourne - West,2008-08-01,6.75,213
214 Mornington Peninsula,2008-08-01,8.77,214
201 Ballarat,2008-08-01,8.67,201
202 Bendigo,2008-08-01,8.52,202
203 Geelong,2008-08-01,11.88,203
204 Hume,2008-08-01,9.13,204
205 Latrobe - Gippsland,2008-08-01,7.27,205
215 Victoria - North West,2008-08-01,8.61,215
216 Shepparton,2008-08-01,7.33,216
217 Warrnambool and South West,2008-08-01,10.16,217
301 Brisbane - East,2008-08-01,8.10,301
302 Brisbane - North,2008-08-01,8.22,302
303 Brisbane - South,2008-08-01,8.22,303
304 Brisbane - West,2008-08-01,7.76,304
305 Brisbane Inner City,2008-08-01,9.38,305
310 Ipswich,2008-08-01,7.66,310
311 Logan - Beaudesert,2008-08-01,8.72,311
313 Moreton Bay - North,2008-08-01,9.85,313
314 Moreton Bay - South,2008-08-01,11.96,314
306 Cairns,2008-08-01,7.97,306
307 Darling Downs - Maranoa,2008-08-01,11.67,307
308 Fitzroy,2008-08-01,8.52,308
309 Gold Coast,2008-08-01,6.78,309
312 Mackay,2008-08-01,11.56,312
315 Queensland - Outback,2008-08-01,6.11,315
316 Sunshine Coast,2008-08-01,6.25,316
317 Toowoomba,2008-08-01,9.44,317
318 Townsville,2008-08-01,5.69,318
319 Wide Bay,2008-08-01,7.53,319
401 Adelaide - Central and Hills,2008-08-01,7.29,401
402 Adelaide - North,2008-08-01,8.66,402
403 Adelaide - South,2008-08-01,9.75,403
404 Adelaide - West,2008-08-01,11.10,404
405 Barossa - Yorke - Mid North,2008-08-01,8.40,405
406 South Australia - Outback,2008-08-01,7.52,406
407 South Australia - South East,2008-08-01,10.18,407
502 Mandurah,2008-08-01,7.98,502
503 Perth - Inner,2008-08-01,10.61,503
504 Perth - North East,2008-08-01,6.36,504
505 Perth - North West,2008-08-01,8.93,505
506 Perth - South East,2008-08-01,8.43,506
507 Perth - South West,2008-08-01,8.39,507
501 Bunbury,2008-08-01,7.72,501
508 Western Australia - Outback,2008-08-01,7.15,508
509 Western Australia - Wheat Belt,2008-08-01,8.18,509
601 Hobart,2008-08-01,7.53,601
602 Launceston and North East,2008-08-01,10.93,602
603 Tasmania - South East,2008-08-01,9.75,603
604 Tasmania - West and North West,2008-08-01,11.86,604
701 Darwin,2008-08-01,8.15,701
702 Northern Territory - Outback,2008-08-01,10.14,702
801 Australian Capital Territory,2008-08-01,16.78,801
102 Central Coast,2009-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2009-08-01,11.08,115
116 Sydney - Blacktown,2009-08-01,8.93,116
117 Sydney - City and Inner South,2009-08-01,8.95,117
118 Sydney - Eastern Suburbs,2009-08-01,8.29,118
119 Sydney - Inner South West,2009-08-01,10.00,119
120 Sydney - Inner West,2009-08-01,8.07,120
121 Sydney - North Sydney and Hornsby,2009-08-01,10.57,121
122 Sydney - Northern Beaches,2009-08-01,6.90,122
123 Sydney - Outer South West,2009-08-01,9.92,123
124 Sydney - Outer West and Blue Mountains,2009-08-01,11.17,124
125 Sydney - Parramatta,2009-08-01,9.07,125
126 Sydney - Ryde,2009-08-01,6.46,126
127 Sydney - South West,2009-08-01,6.35,127
128 Sydney - Sutherland,2009-08-01,6.21,128
101 Capital Region,2009-08-01,8.54,101
103 New South Wales - Central West,2009-08-01,9.18,103
104 Coffs Harbour - Grafton,2009-08-01,10.24,104
105 Far West and Orana,2009-08-01,7.32,105
106 Hunter Valley exc Newcastle,2009-08-01,6.46,106
107 Illawarra,2009-08-01,9.01,107
108 Mid North Coast,2009-08-01,10.00,108
109 Murray,2009-08-01,11.61,109
110 New England and North West,2009-08-01,10.53,110
111 Newcastle and Lake Macquarie,2009-08-01,8.87,111
112 Richmond - Tweed,2009-08-01,8.39,112
113 Riverina,2009-08-01,10.63,113
114 Southern Highlands and Shoalhaven,2009-08-01,8.66,114
206 Melbourne - Inner,2009-08-01,9.56,206
207 Melbourne - Inner East,2009-08-01,8.02,207
208 Melbourne - Inner South,2009-08-01,7.72,208
209 Melbourne - North East,2009-08-01,8.26,209
210 Melbourne - North West,2009-08-01,9.15,210
211 Melbourne - Outer East,2009-08-01,9.20,211
212 Melbourne - South East,2009-08-01,8.55,212
213 Melbourne - West,2009-08-01,8.93,213
214 Mornington Peninsula,2009-08-01,8.35,214
201 Ballarat,2009-08-01,9.46,201
202 Bendigo,2009-08-01,12.46,202
203 Geelong,2009-08-01,10.92,203
204 Hume,2009-08-01,8.97,204
205 Latrobe - Gippsland,2009-08-01,8.71,205
215 Victoria - North West,2009-08-01,10.49,215
216 Shepparton,2009-08-01,10.40,216
217 Warrnambool and South West,2009-08-01,7.38,217
301 Brisbane - East,2009-08-01,12.50,301
302 Brisbane - North,2009-08-01,8.02,302
303 Brisbane - South,2009-08-01,9.29,303
304 Brisbane - West,2009-08-01,9.97,304
305 Brisbane Inner City,2009-08-01,7.36,305
310 Ipswich,2009-08-01,9.16,310
311 Logan - Beaudesert,2009-08-01,9.46,311
313 Moreton Bay - North,2009-08-01,8.09,313
314 Moreton Bay - South,2009-08-01,12.58,314
306 Cairns,2009-08-01,8.22,306
307 Darling Downs - Maranoa,2009-08-01,13.41,307
308 Fitzroy,2009-08-01,11.58,308
309 Gold Coast,2009-08-01,7.78,309
312 Mackay,2009-08-01,9.91,312
315 Queensland - Outback,2009-08-01,5.56,315
316 Sunshine Coast,2009-08-01,8.60,316
317 Toowoomba,2009-08-01,11.23,317
318 Townsville,2009-08-01,5.71,318
319 Wide Bay,2009-08-01,8.25,319
401 Adelaide - Central and Hills,2009-08-01,8.42,401
402 Adelaide - North,2009-08-01,7.63,402
403 Adelaide - South,2009-08-01,9.83,403
404 Adelaide - West,2009-08-01,11.66,404
405 Barossa - Yorke - Mid North,2009-08-01,10.66,405
406 South Australia - Outback,2009-08-01,9.34,406
407 South Australia - South East,2009-08-01,15.13,407
502 Mandurah,2009-08-01,7.82,502
503 Perth - Inner,2009-08-01,9.48,503
504 Perth - North East,2009-08-01,11.49,504
505 Perth - North West,2009-08-01,10.12,505
506 Perth - South East,2009-08-01,8.71,506
507 Perth - South West,2009-08-01,9.02,507
501 Bunbury,2009-08-01,9.86,501
508 Western Australia - Outback,2009-08-01,7.91,508
509 Western Australia - Wheat Belt,2009-08-01,7.51,509
601 Hobart,2009-08-01,8.04,601
602 Launceston and North East,2009-08-01,10.03,602
603 Tasmania - South East,2009-08-01,8.69,603
604 Tasmania - West and North West,2009-08-01,9.29,604
701 Darwin,2009-08-01,10.44,701
702 Northern Territory - Outback,2009-08-01,8.89,702
801 Australian Capital Territory,2009-08-01,11.49,801
102 Central Coast,2010-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2010-08-01,10.72,115
116 Sydney - Blacktown,2010-08-01,7.66,116
117 Sydney - City and Inner South,2010-08-01,9.78,117
118 Sydney - Eastern Suburbs,2010-08-01,10.33,118
119 Sydney - Inner South West,2010-08-01,8.57,119
120 Sydney - Inner West,2010-08-01,9.91,120
121 Sydney - North Sydney and Hornsby,2010-08-01,7.20,121
122 Sydney - Northern Beaches,2010-08-01,7.40,122
123 Sydney - Outer South West,2010-08-01,8.73,123
124 Sydney - Outer West and Blue Mountains,2010-08-01,9.76,124
125 Sydney - Parramatta,2010-08-01,9.31,125
126 Sydney - Ryde,2010-08-01,7.52,126
127 Sydney - South West,2010-08-01,6.81,127
128 Sydney - Sutherland,2010-08-01,9.14,128
101 Capital Region,2010-08-01,7.64,101
103 New South Wales - Central West,2010-08-01,11.22,103
104 Coffs Harbour - Grafton,2010-08-01,10.08,104
105 Far West and Orana,2010-08-01,11.94,105
106 Hunter Valley exc Newcastle,2010-08-01,11.33,106
107 Illawarra,2010-08-01,8.06,107
108 Mid North Coast,2010-08-01,12.25,108
109 Murray,2010-08-01,8.94,109
110 New England and North West,2010-08-01,10.04,110
111 Newcastle and Lake Macquarie,2010-08-01,5.20,111
112 Richmond - Tweed,2010-08-01,9.75,112
113 Riverina,2010-08-01,13.91,113
114 Southern Highlands and Shoalhaven,2010-08-01,7.87,114
206 Melbourne - Inner,2010-08-01,11.39,206
207 Melbourne - Inner East,2010-08-01,8.09,207
208 Melbourne - Inner South,2010-08-01,7.40,208
209 Melbourne - North East,2010-08-01,7.46,209
210 Melbourne - North West,2010-08-01,7.64,210
211 Melbourne - Outer East,2010-08-01,9.07,211
212 Melbourne - South East,2010-08-01,9.08,212
213 Melbourne - West,2010-08-01,8.49,213
214 Mornington Peninsula,2010-08-01,7.09,214
201 Ballarat,2010-08-01,10.12,201
202 Bendigo,2010-08-01,13.37,202
203 Geelong,2010-08-01,7.95,203
204 Hume,2010-08-01,13.02,204
205 Latrobe - Gippsland,2010-08-01,7.99,205
215 Victoria - North West,2010-08-01,8.52,215
216 Shepparton,2010-08-01,9.79,216
217 Warrnambool and South West,2010-08-01,11.04,217
301 Brisbane - East,2010-08-01,11.89,301
302 Brisbane - North,2010-08-01,10.14,302
303 Brisbane - South,2010-08-01,9.33,303
304 Brisbane - West,2010-08-01,9.76,304
305 Brisbane Inner City,2010-08-01,8.35,305
310 Ipswich,2010-08-01,9.25,310
311 Logan - Beaudesert,2010-08-01,7.43,311
313 Moreton Bay - North,2010-08-01,8.59,313
314 Moreton Bay - South,2010-08-01,9.62,314
306 Cairns,2010-08-01,7.77,306
307 Darling Downs - Maranoa,2010-08-01,11.34,307
308 Fitzroy,2010-08-01,7.50,308
309 Gold Coast,2010-08-01,7.83,309
312 Mackay,2010-08-01,10.29,312
315 Queensland - Outback,2010-08-01,7.56,315
316 Sunshine Coast,2010-08-01,7.36,316
317 Toowoomba,2010-08-01,10.67,317
318 Townsville,2010-08-01,5.83,318
319 Wide Bay,2010-08-01,10.18,319
401 Adelaide - Central and Hills,2010-08-01,11.59,401
402 Adelaide - North,2010-08-01,7.91,402
403 Adelaide - South,2010-08-01,9.57,403
404 Adelaide - West,2010-08-01,10.84,404
405 Barossa - Yorke - Mid North,2010-08-01,9.78,405
406 South Australia - Outback,2010-08-01,11.34,406
407 South Australia - South East,2010-08-01,9.28,407
