Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
208 Melbourne - Inner South,1/2/03,47.09,208
209 Melbourne - North East,1/2/03,29.59,209
210 Melbourne - North West,1/2/03,19.74,210
211 Melbourne - Outer East,1/2/03,27.7,211
212 Melbourne - South East,1/2/03,26.05,212
213 Melbourne - West,1/2/03,24.4,213
214 Mornington Peninsula,1/2/03,25.12,214
201 Ballarat,1/2/03,31.75,201
202 Bendigo,1/2/03,29.09,202
203 Geelong,1/2/03,32.57,203
204 Hume,1/2/03,31.79,204
205 Latrobe - Gippsland,1/2/03,30.8,205
215 Victoria - North West,1/2/03,38.53,215
216 Shepparton,1/2/03,31.32,216
217 Warrnambool and South West,1/2/03,35.48,217
301 Brisbane - East,1/2/03,26.82,301
302 Brisbane - North,1/2/03,25.63,302
303 Brisbane - South,1/2/03,32.65,303
304 Brisbane - West,1/2/03,40.64,304
305 Brisbane Inner City,1/2/03,49.21,305
310 Ipswich,1/2/03,21.34,310
311 Logan - Beaudesert,1/2/03,17.9,311
313 Moreton Bay - North,1/2/03,20.83,313
314 Moreton Bay - South,1/2/03,26.81,314
306 Cairns,1/2/03,28.84,306
307 Darling Downs - Maranoa,1/2/03,35.24,307
308 Fitzroy,1/2/03,26.39,308
309 Gold Coast,1/2/03,25.05,309
312 Mackay,1/2/03,24.94,312
315 Queensland - Outback,1/2/03,27.44,315
316 Sunshine Coast,1/2/03,28.52,316
317 Toowoomba,1/2/03,21.08,317
318 Townsville,1/2/03,32.37,318
319 Wide Bay,1/2/03,27.68,319
401 Adelaide - Central and Hills,1/2/03,43.09,401
402 Adelaide - North,1/2/03,18.61,402
403 Adelaide - South,1/2/03,28.23,403
404 Adelaide - West,1/2/03,27.97,404
405 Barossa - Yorke - Mid North,1/2/03,34.26,405
406 South Australia - Outback,1/2/03,23.89,406
407 South Australia - South East,1/2/03,32.65,407
502 Mandurah,1/2/03,20.16,502
503 Perth - Inner,1/2/03,53.51,503
504 Perth - North East,1/2/03,26.02,504
505 Perth - North West,1/2/03,29.31,505
506 Perth - South East,1/2/03,27.04,506
507 Perth - South West,1/2/03,30.6,507
501 Bunbury,1/2/03,25.31,501
508 Western Australia - Outback,1/2/03,21.32,508
509 Western Australia - Wheat Belt,1/2/03,41.71,509
601 Hobart,1/2/03,29.49,601
602 Launceston and North East,1/2/03,27.23,602
603 Tasmania - South East,1/2/03,31.15,603
604 Tasmania - West and North West,1/2/03,25.9,604
701 Darwin,1/2/03,31.01,701
702 Northern Territory - Outback,1/2/03,25.9,702
801 Australian Capital Territory,1/2/03,43.21,801
102 Central Coast,1/2/04,22.58,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/04,40.51,115
116 Sydney - Blacktown,1/2/04,20.64,116
117 Sydney - City and Inner South,1/2/04,40.68,117
118 Sydney - Eastern Suburbs,1/2/04,52.26,118
119 Sydney - Inner South West,1/2/04,25.55,119
120 Sydney - Inner West,1/2/04,44.9,120
121 Sydney - North Sydney and Hornsby,1/2/04,54.75,121
122 Sydney - Northern Beaches,1/2/04,41.17,122
123 Sydney - Outer South West,1/2/04,22.22,123
124 Sydney - Outer West and Blue Mountains,1/2/04,28.67,124
125 Sydney - Parramatta,1/2/04,28.5,125
126 Sydney - Ryde,1/2/04,48.57,126
127 Sydney - South West,1/2/04,22.26,127
128 Sydney - Sutherland,1/2/04,36.68,128
101 Capital Region,1/2/04,31.83,101
103 New South Wales - Central West,1/2/04,29.24,103
104 Coffs Harbour - Grafton,1/2/04,24.35,104
105 Far West and Orana,1/2/04,38.85,105
106 Hunter Valley exc Newcastle,1/2/04,23.22,106
107 Illawarra,1/2/04,29.02,107
108 Mid North Coast,1/2/04,31.03,108
109 Murray,1/2/04,27.71,109
110 New England and North West,1/2/04,34.65,110
111 Newcastle and Lake Macquarie,1/2/04,28.48,111
112 Richmond - Tweed,1/2/04,34.01,112
113 Riverina,1/2/04,33.71,113
114 Southern Highlands and Shoalhaven,1/2/04,26.34,114
206 Melbourne - Inner,1/2/04,51.45,206
207 Melbourne - Inner East,1/2/04,47.71,207
208 Melbourne - Inner South,1/2/04,48.77,208
209 Melbourne - North East,1/2/04,30,209
210 Melbourne - North West,1/2/04,22.81,210
211 Melbourne - Outer East,1/2/04,27.44,211
212 Melbourne - South East,1/2/04,25.74,212
213 Melbourne - West,1/2/04,24.15,213
214 Mornington Peninsula,1/2/04,27.23,214
201 Ballarat,1/2/04,27.43,201
202 Bendigo,1/2/04,31.22,202
203 Geelong,1/2/04,26.29,203
204 Hume,1/2/04,32.29,204
205 Latrobe - Gippsland,1/2/04,30.66,205
215 Victoria - North West,1/2/04,38.12,215
216 Shepparton,1/2/04,28.41,216
217 Warrnambool and South West,1/2/04,36.84,217
301 Brisbane - East,1/2/04,21.86,301
302 Brisbane - North,1/2/04,25.11,302
303 Brisbane - South,1/2/04,32.81,303
304 Brisbane - West,1/2/04,42.78,304
305 Brisbane Inner City,1/2/04,47.61,305
310 Ipswich,1/2/04,19.82,310
311 Logan - Beaudesert,1/2/04,16.96,311
313 Moreton Bay - North,1/2/04,19.53,313
314 Moreton Bay - South,1/2/04,20.37,314
306 Cairns,1/2/04,28.18,306
307 Darling Downs - Maranoa,1/2/04,40.24,307
308 Fitzroy,1/2/04,21.94,308
309 Gold Coast,1/2/04,24.53,309
312 Mackay,1/2/04,24.51,312
315 Queensland - Outback,1/2/04,28.22,315
316 Sunshine Coast,1/2/04,29.35,316
317 Toowoomba,1/2/04,23.79,317
318 Townsville,1/2/04,23.26,318
319 Wide Bay,1/2/04,28.89,319
401 Adelaide - Central and Hills,1/2/04,42.15,401
402 Adelaide - North,1/2/04,19.98,402
403 Adelaide - South,1/2/04,28.68,403
404 Adelaide - West,1/2/04,28.95,404
405 Barossa - Yorke - Mid North,1/2/04,36.34,405
406 South Australia - Outback,1/2/04,26.21,406
407 South Australia - South East,1/2/04,31.83,407
502 Mandurah,1/2/04,19.85,502
503 Perth - Inner,1/2/04,53.66,503
504 Perth - North East,1/2/04,25.94,504
505 Perth - North West,1/2/04,31.16,505
506 Perth - South East,1/2/04,26.47,506
507 Perth - South West,1/2/04,29.5,507
501 Bunbury,1/2/04,26.7,501
508 Western Australia - Outback,1/2/04,28.16,508
509 Western Australia - Wheat Belt,1/2/04,36.23,509
601 Hobart,1/2/04,32.28,601
602 Launceston and North East,1/2/04,26.01,602
603 Tasmania - South East,1/2/04,29.89,603
604 Tasmania - West and North West,1/2/04,25.41,604
701 Darwin,1/2/04,31.84,701
702 Northern Territory - Outback,1/2/04,25.56,702
801 Australian Capital Territory,1/2/04,42.92,801
102 Central Coast,1/2/05,26.36,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/05,38.6,115
116 Sydney - Blacktown,1/2/05,23.21,116
117 Sydney - City and Inner South,1/2/05,43.87,117
118 Sydney - Eastern Suburbs,1/2/05,51.47,118
119 Sydney - Inner South West,1/2/05,29.57,119
120 Sydney - Inner West,1/2/05,43.86,120
121 Sydney - North Sydney and Hornsby,1/2/05,53.09,121
122 Sydney - Northern Beaches,1/2/05,42.72,122
123 Sydney - Outer South West,1/2/05,26.02,123
124 Sydney - Outer West and Blue Mountains,1/2/05,26.51,124
125 Sydney - Parramatta,1/2/05,30.3,125
126 Sydney - Ryde,1/2/05,47.93,126
127 Sydney - South West,1/2/05,21.94,127
128 Sydney - Sutherland,1/2/05,30.98,128
101 Capital Region,1/2/05,30.32,101
103 New South Wales - Central West,1/2/05,30.71,103
104 Coffs Harbour - Grafton,1/2/05,28.47,104
105 Far West and Orana,1/2/05,35.74,105
106 Hunter Valley exc Newcastle,1/2/05,18.88,106
107 Illawarra,1/2/05,31.71,107
108 Mid North Coast,1/2/05,29.32,108
109 Murray,1/2/05,29.66,109
110 New England and North West,1/2/05,33.82,110
111 Newcastle and Lake Macquarie,1/2/05,31.84,111
112 Richmond - Tweed,1/2/05,33.02,112
113 Riverina,1/2/05,35.64,113
114 Southern Highlands and Shoalhaven,1/2/05,27.5,114
206 Melbourne - Inner,1/2/05,48.85,206
207 Melbourne - Inner East,1/2/05,46.82,207
208 Melbourne - Inner South,1/2/05,48.3,208
209 Melbourne - North East,1/2/05,31.91,209
210 Melbourne - North West,1/2/05,21.89,210
211 Melbourne - Outer East,1/2/05,29.25,211
212 Melbourne - South East,1/2/05,27.29,212
213 Melbourne - West,1/2/05,25.98,213
214 Mornington Peninsula,1/2/05,25.46,214
201 Ballarat,1/2/05,26.81,201
202 Bendigo,1/2/05,29.93,202
203 Geelong,1/2/05,29.47,203
204 Hume,1/2/05,33.62,204
205 Latrobe - Gippsland,1/2/05,31.92,205
215 Victoria - North West,1/2/05,33.96,215
216 Shepparton,1/2/05,30.78,216
217 Warrnambool and South West,1/2/05,30.03,217
301 Brisbane - East,1/2/05,23.79,301
302 Brisbane - North,1/2/05,29.26,302
303 Brisbane - South,1/2/05,33.81,303
304 Brisbane - West,1/2/05,48.8,304
305 Brisbane Inner City,1/2/05,48.41,305
310 Ipswich,1/2/05,18.6,310
311 Logan - Beaudesert,1/2/05,16.99,311
313 Moreton Bay - North,1/2/05,24.83,313
314 Moreton Bay - South,1/2/05,27.45,314
306 Cairns,1/2/05,26.55,306
307 Darling Downs - Maranoa,1/2/05,36.45,307
308 Fitzroy,1/2/05,25.42,308
309 Gold Coast,1/2/05,28.73,309
312 Mackay,1/2/05,27.25,312
315 Queensland - Outback,1/2/05,32.01,315
316 Sunshine Coast,1/2/05,23.22,316
317 Toowoomba,1/2/05,27.17,317
318 Townsville,1/2/05,25.15,318
319 Wide Bay,1/2/05,28.55,319
401 Adelaide - Central and Hills,1/2/05,43.9,401
402 Adelaide - North,1/2/05,20.39,402
403 Adelaide - South,1/2/05,30.46,403
404 Adelaide - West,1/2/05,27.69,404
405 Barossa - Yorke - Mid North,1/2/05,32.88,405
406 South Australia - Outback,1/2/05,30.32,406
407 South Australia - South East,1/2/05,33.9,407
502 Mandurah,1/2/05,19.29,502
503 Perth - Inner,1/2/05,51.53,503
504 Perth - North East,1/2/05,26.52,504
505 Perth - North West,1/2/05,29.6,505
506 Perth - South East,1/2/05,26.4,506
507 Perth - South West,1/2/05,30.51,507
501 Bunbury,1/2/05,25.81,501
508 Western Australia - Outback,1/2/05,27.64,508
509 Western Australia - Wheat Belt,1/2/05,34.52,509
601 Hobart,1/2/05,34.76,601
602 Launceston and North East,1/2/05,27.81,602
603 Tasmania - South East,1/2/05,29.46,603
604 Tasmania - West and North West,1/2/05,26.2,604
701 Darwin,1/2/05,29.8,701
702 Northern Territory - Outback,1/2/05,30.53,702
801 Australian Capital Territory,1/2/05,42.6,801
102 Central Coast,1/2/06,28.76,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/06,40.34,115
116 Sydney - Blacktown,1/2/06,22.56,116
117 Sydney - City and Inner South,1/2/06,44.71,117
118 Sydney - Eastern Suburbs,1/2/06,53.08,118
119 Sydney - Inner South West,1/2/06,28.23,119
120 Sydney - Inner West,1/2/06,45.03,120
121 Sydney - North Sydney and Hornsby,1/2/06,51.91,121
122 Sydney - Northern Beaches,1/2/06,44.33,122
123 Sydney - Outer South West,1/2/06,26.08,123
124 Sydney - Outer West and Blue Mountains,1/2/06,27.06,124
125 Sydney - Parramatta,1/2/06,31.06,125
126 Sydney - Ryde,1/2/06,50.35,126
127 Sydney - South West,1/2/06,23.52,127
128 Sydney - Sutherland,1/2/06,33.72,128
101 Capital Region,1/2/06,32.08,101
103 New South Wales - Central West,1/2/06,33.95,103
104 Coffs Harbour - Grafton,1/2/06,25.79,104
105 Far West and Orana,1/2/06,36.73,105
106 Hunter Valley exc Newcastle,1/2/06,22.42,106
107 Illawarra,1/2/06,29.89,107
108 Mid North Coast,1/2/06,27.1,108
109 Murray,1/2/06,27.07,109
110 New England and North West,1/2/06,30.58,110
111 Newcastle and Lake Macquarie,1/2/06,28.85,111
112 Richmond - Tweed,1/2/06,34,112
113 Riverina,1/2/06,36.27,113
114 Southern Highlands and Shoalhaven,1/2/06,31.92,114
206 Melbourne - Inner,1/2/06,51.03,206
207 Melbourne - Inner East,1/2/06,48.49,207
208 Melbourne - Inner South,1/2/06,46.21,208
209 Melbourne - North East,1/2/06,29.96,209
210 Melbourne - North West,1/2/06,21.43,210
211 Melbourne - Outer East,1/2/06,31.13,211
212 Melbourne - South East,1/2/06,26.89,212
213 Melbourne - West,1/2/06,23.8,213
214 Mornington Peninsula,1/2/06,24.08,214
201 Ballarat,1/2/06,30.54,201
202 Bendigo,1/2/06,34.04,202
203 Geelong,1/2/06,31.23,203
204 Hume,1/2/06,33.95,204
205 Latrobe - Gippsland,1/2/06,29.59,205
215 Victoria - North West,1/2/06,38.85,215
216 Shepparton,1/2/06,26.2,216
217 Warrnambool and South West,1/2/06,34.57,217
301 Brisbane - East,1/2/06,26.33,301
302 Brisbane - North,1/2/06,31.08,302
303 Brisbane - South,1/2/06,38.27,303
304 Brisbane - West,1/2/06,45.47,304
305 Brisbane Inner City,1/2/06,48.8,305
310 Ipswich,1/2/06,19.17,310
311 Logan - Beaudesert,1/2/06,19.69,311
313 Moreton Bay - North,1/2/06,21.59,313
314 Moreton Bay - South,1/2/06,28.01,314
306 Cairns,1/2/06,25.12,306
307 Darling Downs - Maranoa,1/2/06,31.63,307
308 Fitzroy,1/2/06,26.99,308
309 Gold Coast,1/2/06,28.78,309
312 Mackay,1/2/06,26.97,312
315 Queensland - Outback,1/2/06,25.55,315
316 Sunshine Coast,1/2/06,28.13,316
317 Toowoomba,1/2/06,29.82,317
318 Townsville,1/2/06,26.3,318
319 Wide Bay,1/2/06,30.52,319
401 Adelaide - Central and Hills,1/2/06,43.97,401
402 Adelaide - North,1/2/06,21.33,402
403 Adelaide - South,1/2/06,29.65,403
404 Adelaide - West,1/2/06,32.22,404
405 Barossa - Yorke - Mid North,1/2/06,29.28,405
406 South Australia - Outback,1/2/06,28.68,406
407 South Australia - South East,1/2/06,29.93,407
502 Mandurah,1/2/06,16.87,502
503 Perth - Inner,1/2/06,59.98,503
504 Perth - North East,1/2/06,27.3,504
505 Perth - North West,1/2/06,30.43,505
506 Perth - South East,1/2/06,27.73,506
507 Perth - South West,1/2/06,29.92,507
501 Bunbury,1/2/06,27.02,501
508 Western Australia - Outback,1/2/06,30.78,508
509 Western Australia - Wheat Belt,1/2/06,37.22,509
601 Hobart,1/2/06,33.12,601
602 Launceston and North East,1/2/06,29.5,602
603 Tasmania - South East,1/2/06,26.46,603
604 Tasmania - West and North West,1/2/06,25.79,604
701 Darwin,1/2/06,30.59,701
702 Northern Territory - Outback,1/2/06,27.5,702
801 Australian Capital Territory,1/2/06,42.01,801
102 Central Coast,1/2/07,25.18,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/07,42.78,115
116 Sydney - Blacktown,1/2/07,23.09,116
117 Sydney - City and Inner South,1/2/07,44.78,117
118 Sydney - Eastern Suburbs,1/2/07,53.66,118
119 Sydney - Inner South West,1/2/07,30.2,119
120 Sydney - Inner West,1/2/07,47.78,120
121 Sydney - North Sydney and Hornsby,1/2/07,53.58,121
122 Sydney - Northern Beaches,1/2/07,44.19,122
123 Sydney - Outer South West,1/2/07,23.82,123
124 Sydney - Outer West and Blue Mountains,1/2/07,30.23,124
125 Sydney - Parramatta,1/2/07,32.32,125
126 Sydney - Ryde,1/2/07,48.97,126
127 Sydney - South West,1/2/07,22.73,127
128 Sydney - Sutherland,1/2/07,35.79,128
101 Capital Region,1/2/07,29.93,101
103 New South Wales - Central West,1/2/07,32.4,103
104 Coffs Harbour - Grafton,1/2/07,25.73,104
105 Far West and Orana,1/2/07,38.85,105
106 Hunter Valley exc Newcastle,1/2/07,22.42,106
107 Illawarra,1/2/07,26.27,107
108 Mid North Coast,1/2/07,23.07,108
109 Murray,1/2/07,29.13,109
110 New England and North West,1/2/07,34.58,110
111 Newcastle and Lake Macquarie,1/2/07,29.07,111
112 Richmond - Tweed,1/2/07,31.1,112
113 Riverina,1/2/07,34.2,113
114 Southern Highlands and Shoalhaven,1/2/07,30.9,114
206 Melbourne - Inner,1/2/07,51.27,206
207 Melbourne - Inner East,1/2/07,50.61,207
208 Melbourne - Inner South,1/2/07,49.19,208
209 Melbourne - North East,1/2/07,31.51,209
210 Melbourne - North West,1/2/07,23.82,210
211 Melbourne - Outer East,1/2/07,30.25,211
212 Melbourne - South East,1/2/07,28.05,212
213 Melbourne - West,1/2/07,24.74,213
214 Mornington Peninsula,1/2/07,26.4,214
201 Ballarat,1/2/07,30.47,201
202 Bendigo,1/2/07,31.9,202
203 Geelong,1/2/07,31.92,203
204 Hume,1/2/07,28.38,204
205 Latrobe - Gippsland,1/2/07,28.55,205
215 Victoria - North West,1/2/07,38.89,215
216 Shepparton,1/2/07,34.32,216
217 Warrnambool and South West,1/2/07,36.29,217
301 Brisbane - East,1/2/07,28.03,301
302 Brisbane - North,1/2/07,26.55,302
303 Brisbane - South,1/2/07,36.37,303
304 Brisbane - West,1/2/07,44.83,304
305 Brisbane Inner City,1/2/07,50.49,305
310 Ipswich,1/2/07,20.42,310
311 Logan - Beaudesert,1/2/07,17.55,311
313 Moreton Bay - North,1/2/07,20.57,313
314 Moreton Bay - South,1/2/07,28.14,314
306 Cairns,1/2/07,25.27,306
307 Darling Downs - Maranoa,1/2/07,32.19,307
308 Fitzroy,1/2/07,23.23,308
309 Gold Coast,1/2/07,27.91,309
312 Mackay,1/2/07,26.58,312
315 Queensland - Outback,1/2/07,26.78,315
316 Sunshine Coast,1/2/07,26.3,316
317 Toowoomba,1/2/07,31.5,317
318 Townsville,1/2/07,24.29,318
319 Wide Bay,1/2/07,27.83,319
401 Adelaide - Central and Hills,1/2/07,46.34,401
402 Adelaide - North,1/2/07,22.02,402
403 Adelaide - South,1/2/07,31.91,403
404 Adelaide - West,1/2/07,30.13,404
405 Barossa - Yorke - Mid North,1/2/07,30.89,405
406 South Australia - Outback,1/2/07,23.5,406
407 South Australia - South East,1/2/07,31.35,407
502 Mandurah,1/2/07,20.72,502
503 Perth - Inner,1/2/07,53.75,503
504 Perth - North East,1/2/07,27.09,504
505 Perth - North West,1/2/07,29.75,505
506 Perth - South East,1/2/07,29.18,506
507 Perth - South West,1/2/07,28.77,507
501 Bunbury,1/2/07,25.12,501
508 Western Australia - Outback,1/2/07,27.17,508
509 Western Australia - Wheat Belt,1/2/07,31.8,509
601 Hobart,1/2/07,33.68,601
602 Launceston and North East,1/2/07,29.64,602
603 Tasmania - South East,1/2/07,35.07,603
604 Tasmania - West and North West,1/2/07,23.23,604
701 Darwin,1/2/07,31.37,701
702 Northern Territory - Outback,1/2/07,31.28,702
801 Australian Capital Territory,1/2/07,43.16,801
102 Central Coast,1/2/08,25.47,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/08,42.67,115
116 Sydney - Blacktown,1/2/08,23.6,116
117 Sydney - City and Inner South,1/2/08,48.07,117
118 Sydney - Eastern Suburbs,1/2/08,53.07,118
119 Sydney - Inner South West,1/2/08,27.04,119
120 Sydney - Inner West,1/2/08,45.7,120
121 Sydney - North Sydney and Hornsby,1/2/08,57.39,121
122 Sydney - Northern Beaches,1/2/08,45.15,122
123 Sydney - Outer South West,1/2/08,21.21,123
124 Sydney - Outer West and Blue Mountains,1/2/08,31.5,124
125 Sydney - Parramatta,1/2/08,31.03,125
126 Sydney - Ryde,1/2/08,52.53,126
127 Sydney - South West,1/2/08,20.58,127
128 Sydney - Sutherland,1/2/08,36.79,128
101 Capital Region,1/2/08,30.45,101
103 New South Wales - Central West,1/2/08,33.9,103
104 Coffs Harbour - Grafton,1/2/08,29.13,104
105 Far West and Orana,1/2/08,36.33,105
106 Hunter Valley exc Newcastle,1/2/08,20.58,106
107 Illawarra,1/2/08,26.58,107
108 Mid North Coast,1/2/08,26.49,108
109 Murray,1/2/08,27.1,109
110 New England and North West,1/2/08,39.36,110
111 Newcastle and Lake Macquarie,1/2/08,30.47,111
112 Richmond - Tweed,1/2/08,32.72,112
113 Riverina,1/2/08,30.99,113
114 Southern Highlands and Shoalhaven,1/2/08,32.41,114
206 Melbourne - Inner,1/2/08,53.34,206
207 Melbourne - Inner East,1/2/08,48.48,207
208 Melbourne - Inner South,1/2/08,48.63,208
209 Melbourne - North East,1/2/08,30.91,209
210 Melbourne - North West,1/2/08,24.74,210
211 Melbourne - Outer East,1/2/08,32.12,211
212 Melbourne - South East,1/2/08,26.29,212
213 Melbourne - West,1/2/08,25.23,213
214 Mornington Peninsula,1/2/08,26.68,214
201 Ballarat,1/2/08,25.3,201
202 Bendigo,1/2/08,32.56,202
203 Geelong,1/2/08,32.95,203
204 Hume,1/2/08,30.06,204
205 Latrobe - Gippsland,1/2/08,27.17,205
215 Victoria - North West,1/2/08,37.65,215
216 Shepparton,1/2/08,30.36,216
217 Warrnambool and South West,1/2/08,31.02,217
301 Brisbane - East,1/2/08,25.43,301
302 Brisbane - North,1/2/08,30.96,302
303 Brisbane - South,1/2/08,37.53,303
304 Brisbane - West,1/2/08,48.71,304
305 Brisbane Inner City,1/2/08,50.58,305
310 Ipswich,1/2/08,23.06,310
311 Logan - Beaudesert,1/2/08,22.81,311
313 Moreton Bay - North,1/2/08,21.98,313
314 Moreton Bay - South,1/2/08,30.04,314
306 Cairns,1/2/08,27.39,306
307 Darling Downs - Maranoa,1/2/08,35.53,307
308 Fitzroy,1/2/08,24.31,308
309 Gold Coast,1/2/08,27.69,309
312 Mackay,1/2/08,26.82,312
315 Queensland - Outback,1/2/08,29.9,315
316 Sunshine Coast,1/2/08,31.69,316
317 Toowoomba,1/2/08,29.59,317
318 Townsville,1/2/08,24.15,318
319 Wide Bay,1/2/08,27.79,319
401 Adelaide - Central and Hills,1/2/08,44.77,401
402 Adelaide - North,1/2/08,24.54,402
403 Adelaide - South,1/2/08,30.93,403
404 Adelaide - West,1/2/08,30.13,404
405 Barossa - Yorke - Mid North,1/2/08,31.74,405
406 South Australia - Outback,1/2/08,25.43,406
407 South Australia - South East,1/2/08,31.42,407
502 Mandurah,1/2/08,24.5,502
503 Perth - Inner,1/2/08,60.36,503
504 Perth - North East,1/2/08,24.79,504
505 Perth - North West,1/2/08,33.68,505
506 Perth - South East,1/2/08,30.09,506
507 Perth - South West,1/2/08,31.99,507
501 Bunbury,1/2/08,25.45,501
508 Western Australia - Outback,1/2/08,26.56,508
509 Western Australia - Wheat Belt,1/2/08,35.09,509
601 Hobart,1/2/08,33.88,601
602 Launceston and North East,1/2/08,29.42,602
603 Tasmania - South East,1/2/08,30.01,603
604 Tasmania - West and North West,1/2/08,23.49,604
701 Darwin,1/2/08,34.55,701
702 Northern Territory - Outback,1/2/08,26.24,702
801 Australian Capital Territory,1/2/08,44.07,801
102 Central Coast,1/2/09,27.3,102
115 Sydney - Baulkham Hills and Hawkesbury,1/2/09,42.8,115
116 Sydney - Blacktown,1/2/09,26.05,116
117 Sydney - City and Inner South,1/2/09,50.65,117
118 Sydney - Eastern Suburbs,1/2/09,52.68,118
119 Sydney - Inner South West,1/2/09,27.45,119
120 Sydney - Inner West,1/2/09,45.9,120
121 Sydney - North Sydney and Hornsby,1/2/09,57.7,121
122 Sydney - Northern Beaches,1/2/09,47.58,122
123 Sydney - Outer South West,1/2/09,25.44,123
124 Sydney - Outer West and Blue Mountains,1/2/09,28.95,124
125 Sydney - Parramatta,1/2/09,35.25,125
126 Sydney - Ryde,1/2/09,44.9,126
127 Sydney - South West,1/2/09,21.3,127
128 Sydney - Sutherland,1/2/09,36.32,128
101 Capital Region,1/2/09,40.54,101
103 New South Wales - Central West,1/2/09,22.88,103
104 Coffs Harbour - Grafton,1/2/09,29.77,104
105 Far West and Orana,1/2/09,44.26,105
106 Hunter Valley exc Newcastle,1/2/09,21.13,106
107 Illawarra,1/2/09,28.49,107
108 Mid North Coast,1/2/09,27.69,108
109 Murray,1/2/09,30,109
110 New England and North West,1/2/09,34.18,110
